WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN
9.17,0,1,0,13.6,0,10.5
4.67,0,0.2,0,18,0,6.2
5.66,0,1.2,0,18.8,0,6.4
8.25,0,0.1,0,18.8,0,13.1
10.54,0,0.2,0,19.6,0,7.7
12.96,0,0.8,0,20,0,15
13.7,0,0,0,17.6,0,9.5
10.37,0,0,0,17.3,0,8.7
7.92,0,0,0,16.6,0,8.7
10.54,0,1.6,0,19.4,0,7.2
13.29,0,0,0,18.5,0,11.6
14.21,0,0,0,22.4,0,11.6
14.88,0,0,0,23,0,11.5
11.87,0,2.8,0,21.6,0,12.1
8.38,0,0,0,15.2,0,11.6
10.54,0,0,0,16.7,0,6.1
8.79,0,0,0,19.5,0,8.1
8.33,0,0,0,22.2,0,11.1
4.92,0,0,0,23.4,0,11.6
6.71,0,0,0,19.4,0,15.5
5.83,0,0,0,20.1,0,12.1
15.75,0,0.6,0,18.3,0,9.5
14.92,0,0,0,18.2,0,10.6
10.08,0,0,0,20,0,7.1
7.08,0,0.1,0,20.2,0,8
14.54,0,0.2,0,21.2,0,13.6
14.04,0,0,0,18.3,0,14.4
9.46,0,6.4,0,18.4,0,12.3
2.67,0,6.6,0,17.3,0,12.2
7.41,0,5.4,0,17.4,0,12.8
9.08,0,0.4,0,19,0,13.3
16.83,0,21.4,0,13.8,0,9
11.83,0,0.1,0,17.4,0,8.3
10.25,0,2.6,0,18.8,0,7.6
13.13,0,0.1,0,15.6,0,11
7.08,0,0,0,19.7,0,10.5
4.96,0,0,0,19.3,0,10.5
3.5,0,0,0,18.7,0,7.6
3.04,0,0,0,18.3,0,12.1
2.21,0,0,0,16,0,11.7
4.75,0,0,0,17.1,0,8.1
2.21,0,0,0,17.3,0,10
3.58,0,0,0,18.3,0,11.1
12.29,0,1.6,0,20.6,0,11.6
18.79,0,0,0,17.5,0,12.7
7.87,0,2.6,0,16.7,0,10.2
9.67,0,0,0,17.8,0,7.7
5.79,0,0,0,18.2,0,11.2
6.04,0,0,0,21.4,0,8.2
3.75,0,0,0,17.7,0,11.7
4.21,0,0.7,0,17.1,0,7.3
8.87,0,0.9,0,17.8,0,10.4
11.92,0,5.1,0,19.3,0,9.1
13.54,0,0,0,20.6,0,13.4
10.54,0,0,0,19.5,0,7.6
7.87,0,0.1,0,18.3,0,13.1
3.88,0,15,2,14.4,0,6.1
10.63,0,1.1,0,19,0,10
11.25,0,1.9,0,18.3,0,10.4
4.67,0,1.2,0,16.6,0,9
6.83,0,0.2,0,16.6,0,8.8
6.83,0,0.8,0,19.1,0,5.6
10.92,0,0.1,0,18.4,0,11.2
15.09,0,0.4,0,18.8,0,11.6
9.42,0,0.3,0,18.3,0,12.2
12.96,0,0,0,19,0,11.1
10.21,0,0.4,0,21.7,0,11.2
19.04,0,0.8,0,17,0,12.5
13.21,0,0.3,0,15.6,0,12
12.58,0,9.5,0,21,0,11.3
19,0,0.2,0,17.3,0,13
12.08,0,0,0,17.2,0,10.5
8.17,0,5,0,21.6,0,11.6
5.66,0,0,0,18,0,6.4
10.92,0,1.8,0,19.4,0,12.8
9.79,0,1.1,0,18.2,0,8.6
12.12,0,0,0,21.7,0,12.1
9.08,0,0,0,24.6,0,12.6
14.12,0,0,0,22.7,0,17.8
4.58,0,0,0,20,0,9.4
2.92,0,0.1,0,21.1,0,5
4.63,0,0.1,0,21,0,11.1
3.83,0,0.1,0,20.5,0,12.3
5.88,0,0,0,16.1,0,13.7
1.25,0,0,0,18.3,0,14.4
9.38,0,0.2,0,15.6,0,10.6
14.09,0,3.4,0,16.6,0,9.6
7.87,0,0,0,15.8,0,6.7
3.17,0,0,0,17.7,0,6.6
6.92,0,7.9,0,20.2,0,5.6
4.83,0,0,0,21.4,0,13.4
8.63,0,2.8,0,18.2,0,10.5
11.08,0,0.5,0,19.5,0,10
11.75,0,0.8,0,19.1,0,12.6
12.75,0,1,0,19.5,0,10.4
13,0,0.5,0,19.4,0,13.1
20.79,0,0,2,19.5,0,12.7
7.87,0,0,0,20,0,10.5
4.17,0,0.1,0,18.4,0,5.1
8.17,0,9,0,21.6,0,11.6
4.79,0,9.8,0,17.6,0,11.1
6.46,0,0,0,18.3,0,13.2
4.12,0,0.4,0,20.7,0,4.2
6.08,0,2.8,0,20.3,0,13.3
5.91,0,0,0,16.7,0,5.7
8.92,0,0,0,15.5,0,4.6
12.46,0,1.2,0,16.6,0,12.2
8.08,0,32,0,14.5,0,8.1
9.13,0,6.1,0,14.4,0,10.5
9.21,0,1.2,0,16.8,0,8
10.96,0,0,0,14.8,0,8.5
5.83,0,0.5,0,16,0,10.3
8.71,0,3.4,0,17.7,0,10.4
4.04,0,7.3,0,15.5,0,13.8
3.5,0,4,0,12.7,0,6.6
5.63,0,1.8,0,14.7,0,8.8
12.96,0,3,0,15,0,11
6.87,0,0.6,0,14.6,0,4.3
10.17,0,1.6,0,15.1,0,6.4
9.04,0,1.7,0,17.5,0,7.8
11.75,0,0.9,0,16.6,0,10.4
12.71,0,0.1,0,14.3,0,9
5.58,0,0,0,15.5,0,2
9.92,0,0,0,17.8,0,5.7
2.96,0,0,0,15.6,0,8.8
9,0,0,0,13.8,0,2.5
14.58,0,2.2,0,12.2,0,6.5
22.17,0,0,0,12.6,0,8.8
21.84,0,0,0,12.3,0,6
13.21,0,1.1,0,9.6,0,5.7
12.08,0,0,0,10.7,0,2.5
7.5,0,0.3,0,13.7,0,5
17.58,0,16.7,0,12.6,0,8.4
16.21,0,6.6,0,14.5,0,6
17.96,0,5.6,0,11.5,0,8.2
18.34,0,0.2,0,11.1,0,3.2
9.79,0,0,0,13.3,0,7.4
7.79,0,1.6,0,11.6,0,4.5
9.75,0,0,0,11.7,0,3.7
9.42,0,0,0,10.4,0,1.5
14.88,0,0,0,12.5,0,5
15.25,0,0.5,0,15.4,0,8.3
13.08,0,0.3,0,15.4,0,7.7
15.83,0,0.5,0,11.7,0,8
11.21,0,0,0,8.2,0,2.2
8.5,0,0,0,10.6,0,1.3
10.79,0,0.4,0,13,2,3
8.21,0,0,2,11.3,0,6.6
9.29,0,4.1,0,13.2,0,6.6
6.58,0,0,0,10,0,2.3
8.21,0,0,0,9.5,1,-1
7.71,0,0.3,0,6.1,1,-1.6
12.12,0,0,0,8.6,1,-1.6
13.04,0,0,0,10.5,0,0.8
21.87,0,0,0,10.5,0,3.2
15.71,0,0,0,9.4,0,8
6,0,0,0,8.7,0,6.7
2.29,0,0.5,0,8.3,0,6.1
3.13,0,0.4,0,9.6,0,6
9.29,0,0,0,9.6,0,6.1
9.33,0,0,0,9.4,0,8.4
13.04,0,0,0,9.5,0,8.4
7,0,17.8,0,10.2,0,1.1
9.17,0,0.7,0,12.3,0,1.6
15.41,0,0,0,8.7,0,2.4
16.17,0,0.9,0,10,0,3.3
11.83,0,0,0,7.7,0,2.8
6.34,0,8.6,0,8.1,1,-0.4
5.83,0,1.2,0,6.8,2,0
12.79,0,0.9,0,8.3,0,1.7
15.29,0,12.5,0,12.6,0,3.5
16.5,0,5.8,0,13.1,0,6.6
7.25,0,0,0,5.5,0,4.6
12.21,0,3,0,7.2,0,0.3
7.67,0,3.2,0,7.4,1,-3.2
13.79,0,8.4,0,13.1,1,-2.2
17.83,0,0.1,2,5,0,0.7
12.62,0,0,0,3.3,1,-0.4
8.87,0,4.5,0,5.5,1,-5.4
19.83,0,4.2,0,11.5,1,-5
10.04,0,3.4,0,13.3,0,5.1
18.84,0,4.6,0,14,0,5.1
25.62,0,0.4,0,11.8,0,9.5
16.83,0,3.3,0,13.4,0,9.1
16.66,0,0.2,2,13.5,0,7.8
9.38,0,0.1,0,12.7,1,-1.1
10.71,0,0,0,13.2,1,-0.5
6.92,0,0,0,11.2,0,7.8
9.54,0,0,0,9,0,4.8
4.79,0,0,0,4.4,1,-2.7
3.54,0,0,0,2.1,1,-5
3.63,0,0,0,6.1,1,-5.5
4.33,0,0,0,6.2,1,-5
13.59,0,0,0,6.8,1,-1.6
18.12,0,0,2,5,0,3.8
8.5,0,0,0,2.6,1,-0.5
11.92,0,0,2,5,1,-2.7
17.12,0,0,0,5,0,0.7
2.92,0,0,0,3.3,1,-3.2
8.96,0,0,0,3.8,1,-5.2
15,0,0,2,3,1,-5
17.29,0,0,0,1.7,0,0.1
10.04,0,1.3,0,1.5,1,-11
10.41,0,0,0,1.2,1,-10.7
8.46,0,0,1,-0.1,1,-7.8
4.58,0,0,0,1.8,1,-8.1
5.5,0,0,0,6,1,-3.8
15.29,0,1.8,0,9.1,1,-2.3
8.46,0,2.1,0,11.6,0,4.6
14.29,0,0,0,8.8,0,4.5
17.71,0,6.8,0,10.8,0,6.2
15.29,0,0,0,6.2,0,3.1
14.29,0,4.2,0,12.5,0,1.7
25.96,0,0.7,0,7.6,0,2.4
23.54,0,0.1,0,7.6,0,3.2
19.7,0,0,0,5.5,0,0
12.42,0,0.1,0,8.6,0,0.5
20.38,0,7.8,0,11.5,0,0.8
19.75,0,2.7,0,8.1,0,2.6
22.79,0,1,0,8.6,0,2.8
12.46,0,0,0,8.3,0,1.1
16.08,0,1.1,0,9.8,0,2.2
10.29,0,1.1,0,11.1,0,4.2
17.29,0,2.4,0,8.8,0,5.5
23.25,0,0,0,6.2,0,1.8
12.71,0,2.6,0,11.2,0,2.3
17.25,0,1,0,11.7,0,3.3
18.29,0,0,0,11.3,0,7.2
7.41,0,0.9,0,8.7,0,7
5.17,0,0,0,7.7,0,4.6
3.63,0,0,0,8.2,0,5.6
2.17,0,0,0,10.2,0,5.5
13.33,0,0.3,0,11.1,0,1.1
22.42,0,2,0,12.2,0,6.1
15.71,0,0.3,0,7.4,0,1.6
13.17,0,0.8,0,10,0,2.1
15.96,0,0,0,10.7,0,3.6
18.88,0,4,0,10.2,0,3.8
15.75,0,0,0,10.7,0,3.3
18.75,0,2.6,0,11.6,0,3.8
25,0,1.1,0,8.5,0,5.5
8.21,0,0.1,2,10,0,1.7
12.08,0,0,0,11.2,2,1.7
14.96,0,1.1,0,10.5,0,6.8
24.41,0,0.4,0,12.4,0,1.7
29.54,0,0.7,2,12.5,0,4.4
15.79,0,2.7,0,6.1,0,2
11.71,0,0,0,6.8,1,-1.1
23.45,0,2.9,0,10.7,0,0.1
28.84,0,0,0,8.8,0,6.3
14.12,0,0,0,10.5,0,3.1
8.29,0,0,0,9.8,0,3.8
7.92,0,0,0,10.8,0,6.2
1.46,0,0,0,10.6,0,4.8
7.04,0,0,0,9.5,0,6.1
15.29,0,0,0,6.6,0,2.7
20.21,0,0,0,4,0,3.2
18.12,0,0,0,5.7,0,2.2
22.63,0,0.4,0,4.6,0,2.3
25.62,0,5.4,0,2.7,1,-1
26.87,0,0,0,3.5,1,-1
13.88,0,5.5,0,3.6,1,-0.5
7.96,0,1.1,0,3.5,0,0
9.59,0,0.5,0,5.5,0,0.1
6.71,0,5,0,1,1,-6
5.33,0,0,0,3.3,1,-7.4
5.79,0,0,0,6.1,1,-6.2
8,0,0,0,6.1,1,-6.6
29.58,0,2.7,0,5.5,1,-1.2
18,0,13.9,0,6.2,0,1.2
9,0,6,0,9.2,0,2.7
3.83,0,7.7,0,8.3,0,5.8
10.92,0,2.7,2,5.5,0,4.5
7.71,0,0,0,6.1,0,3.1
6.83,0,0,0,5.7,1,-2.7
4,0,0,0,5.4,1,-3.8
16.54,0,3,0,5.6,0,0.2
12.58,0,0,0,6.1,0,1.7
7.71,0,0,0,7.2,0,3.5
5.79,0,0,0,11.6,1,-4.2
9.04,0,0,0,6.7,1,-0.5
7.67,0,0,0,9.4,1,-1.6
6.71,0,0,0,6.5,0,2.2
5.96,0,0.5,0,9.3,1,-1.5
9.42,0,0,0,6.8,0,2.5
3.5,0,0.2,0,6.8,0,2.6
19.41,0,2.3,0,10.2,0,2.7
14.88,0,0.3,0,12.6,0,2.8
9.92,0,0.2,0,11.1,0,1.6
13.54,0,4.4,0,10.1,1,-2.1
10.83,0,1.2,0,13.6,0,3.2
13.75,0,0.3,0,9.3,0,0.8
16.42,0,0.4,0,9.2,1,-0.1
19.79,0,2.7,0,8.6,0,1.4
20.83,0,5.2,0,9.8,0,2.4
10.67,0,4,0,12.1,0,3.4
17.83,0,3.8,0,10.2,0,1.7
22.42,0,1.7,0,9.3,0,4.4
17.08,0,1.1,0,10.8,0,1.1
22.5,0,1.5,0,13.1,0,5.4
18.25,0,6.1,0,10.5,0,2.2
16.21,0,3.8,0,9.4,0,3
12.04,0,1.8,0,11.1,0,4.5
14.12,0,0.1,0,12.3,0,6.6
3.79,0,0,0,10.5,0,5
6.58,0,0,0,10.6,1,-1.1
11.42,0,0,0,8.2,0,1.7
13.83,0,0,0,7.6,0,1.8
15.34,0,0.5,0,9.1,0,1.6
14.83,0,3.3,0,9,0,5.4
11.71,0,0.8,0,8.4,0,5.7
6.21,0,0,0,12,0,6.1
6.17,0,0.2,0,12.2,0,3.3
3.58,0,7.4,0,11.1,0,3.3
8.58,0,0,0,14.8,0,0.2
8.96,0,0,0,13.1,0,6.1
5.79,0,0,0,16.8,0,7.2
5.83,0,0,0,15,0,3.3
7.67,0,0,0,15.8,0,5.8
6.42,0,0,0,13.2,0,5.1
5.17,0,0,0,15.5,0,0.7
5.37,0,0,2,13,0,3.4
5.41,0,0,0,13.6,0,1.1
2.25,0,0,0,13.8,0,2
4,0,0,0,15.7,0,2.8
3.5,0,0,0,15.7,0,2.7
5.83,0,0,0,16.7,0,8.8
8.79,0,0,0,15.7,0,6.4
4.88,0,7.9,0,18.8,0,8.8
14.09,0,0.3,0,18.6,0,10.3
11.34,0,2,0,16.7,0,11.5
7.04,0,2.6,0,13.3,0,5.5
5.96,0,6.9,0,14.3,0,5
11.04,0,1.6,0,14,0,6.2
10.46,0,0.3,0,13.3,0,6.6
8.75,0,0,0,16.5,0,3.2
13.79,0,0,0,17.4,0,10.2
9.83,0,3.5,0,14.5,0,8.5
23.25,0,0.4,0,13.3,0,8
18.05,0,2.8,0,13.6,0,4.8
11.21,0,27,0,13.4,0,5.8
17.12,0,1.6,0,12.4,0,5.5
12.42,0,0.9,0,12.8,0,4.4
11.63,0,1.5,0,16.1,0,4.5
16,0,0,0,15.8,0,6.6
16.42,0,0.4,0,14.8,0,5.8
11.67,0,0.1,0,13.8,0,4.4
8,0,0,0,11,0,2.3
7.46,0,0,0,11,0,4.1
9.92,0,0,0,12.3,0,5.2
6.83,0,3.8,0,14.4,0,5.2
6.75,0,0.1,0,10.7,0,9
7.17,0,0,0,15.6,0,2.6
7.83,0,0,0,11.7,0,2.5
5.91,0,0,0,14,0,1.1
3.17,0,0,0,14.5,0,2.5
3,0,0,0,15.6,0,5.5
3.33,0,0,0,16.4,0,4.5
8.21,0,0,0,16.7,0,4.6
6.08,0,0,0,20.1,0,4.8
3.83,0,0,0,21.7,0,8.5
5.41,0,0,0,22.7,0,10.6
8.29,0,0,0,19.1,0,11.1
6.5,0,4.4,0,15.1,0,7.6
7.96,0,2.3,0,16.2,0,9.1
9.08,0,0,0,20.1,0,11.4
9.62,0,0,0,15.6,0,8.8
14,0,0.2,0,16.8,0,13.3
2.79,0,7.8,0,16.8,0,8.2
8.42,0,0,0,18.3,0,4.4
10.37,0,1.6,0,16.8,0,6.3
21.5,0,1.6,0,18.4,0,12.4
23.42,0,0.9,0,15.6,0,11.1
12.54,0,1.9,0,19.8,0,9.4
16.04,0,0.8,0,19.4,0,13.8
13.67,0,0.2,0,18.4,0,10.6
16.66,0,0.3,0,17.3,0,9
25.29,0,0,0,16.1,0,9.6
18.79,0,0.2,0,16.1,0,7.1
14.33,0,0,0,16.3,0,9.6
11.92,0,0,0,16.1,0,4.5
12.79,0,0.6,0,18.4,0,11.7
6.42,0,0,0,17.2,0,6
7.12,0,0,0,20.1,0,7.8
11.17,0,0,0,20.7,0,9.3
17.5,0,0,0,19.1,0,11.8
12.87,0,0,0,19,0,10.6
10.08,0,0,0,16.1,2,11.2
7.79,0,0,0,13.7,0,5.3
5.46,0,0,0,15.5,0,9.7
3.13,0,0,0,15.5,0,11.3
4.67,0,0,0,16.6,0,11.2
4.63,0,9,0,18.3,0,11.3
7.5,0,4.5,0,14.2,0,11.2
5.71,0,0,0,15.6,0,11.1
4.75,0,0,0,18.8,0,10.1
5.54,0,4.3,0,19.2,0,8.3
8,0,3.4,0,15.1,0,12.3
5.79,0,0,2,14.8,0,11.6
1.87,0,0,0,17.7,0,10.4
4.54,0,0,0,17.2,0,5.3
12.33,0,8.3,0,16.5,0,11.1
13.04,0,0,0,18.4,0,13.3
9.17,0,24.7,0,21.1,0,11
12.96,0,1.2,0,17.3,0,11.4
11.29,0,2.6,0,18,0,12.3
5.88,0,1.9,0,18.4,0,11.6
4.38,0,2,0,15.1,0,12.1
6.34,0,0,0,17.3,0,11.1
10,0,0,0,15.5,0,10.5
3.67,0,0,0,17,0,11.1
2.88,0,7,0,19.6,0,10.2
6.58,0,1.9,0,21.7,0,14
12.17,0,0,0,20.5,0,14.4
9.54,0,0,0,16.5,0,12.8
4.46,0,2.1,0,18,0,13.2
8.38,0,0.4,2,16.5,0,13.6
8.42,0,9.2,0,16.2,0,12
14.25,0,0.6,0,17,0,9.7
10.75,0,0.1,0,18.8,0,8.8
5.63,0,3,0,16.2,0,5.6
10.5,0,1.3,0,17,0,8.8
7.12,0,2.3,0,17,0,7.8
12.25,0,1.7,0,17.1,0,12.2
14.29,0,0.6,0,19.5,0,10.8
18.5,0,0,0,18.5,0,14.2
9.38,0,0,0,17.3,0,10
5.88,0,1.4,0,16.1,0,6.7
8.67,0,11.1,0,18.2,0,7.3
10.41,0,2.5,0,17.8,2,10.6
11.38,0,1.1,0,16.7,0,10
11.25,0,0.2,0,19,0,7.6
7.54,0,0.8,0,17.7,0,8.4
10.5,0,1.4,0,20.1,0,13.8
11.25,0,2.8,0,18.5,0,13.7
14.21,0,1.2,0,18.4,0,12.3
15.09,0,0.9,0,18.6,0,11.7
17.04,0,6.1,0,18.3,0,12.7
21.09,0,0.9,0,17.8,0,11.7
15.5,0,1.1,0,18.1,0,10.5
22.13,0,4.8,0,18.1,0,12.4
14.29,0,4.3,0,16.6,0,9.4
5.54,0,1,0,15.5,0,10.2
7.75,0,0,0,19,0,7.3
6.42,0,0,0,20.2,0,10.1
5.37,0,0,0,19.5,0,13.3
7.41,0,0.5,0,19,0,15.2
5,0,5.5,0,19.5,0,13.5
6.17,0,1.6,0,18.3,0,13.2
6.46,0,5.2,0,16.7,0,12.2
7.5,0,11,0,18.8,0,9.8
5.25,0,1.9,0,15.1,0,8.4
11.63,0,1.2,0,16.2,0,5.7
8.04,0,0.2,0,16.6,0,9.5
18.79,0,1.1,0,17.3,0,12.1
9.59,0,18.3,0,16.6,0,13.1
8.38,0,3,0,18.1,0,10.1
7.54,0,0.1,0,13.4,0,10.4
6.13,0,0,0,14.3,0,3.5
7.25,0,1.1,0,16.2,0,9.5
7.92,0,1.9,0,15.4,0,10.5
11.75,0,1.1,0,14.1,0,5.7
10.58,0,0,0,13.3,0,5.1
6.79,0,0,0,14.5,0,2.8
2.88,0,0,0,13.3,0,7.4
4.63,0,0,0,12.8,0,9.4
2.29,0,0,0,14.3,0,3.8
6.58,0,0,0,14,0,2.3
8.33,0,0,0,16.1,0,10
4.88,0,1.3,0,16.2,0,12.3
10.83,0,13.3,0,14.8,0,11.1
12,0,13.3,0,9.6,0,8.7
8.42,0,10.8,0,15,0,1.3
11.29,0,0.8,0,15.5,0,6.7
13.79,0,20,0,14.3,0,2.5
16.54,0,3,0,16.3,0,9.6
13.29,0,1.6,0,16.6,0,10.5
7.12,0,0,0,16.3,0,6.5
7.33,0,0,0,17.2,0,2.7
11.54,0,0.5,0,16.6,0,11.5
8.29,0,0,0,17.7,0,10.1
6.25,0,0,0,17.7,0,6.6
8.04,0,0,0,17.8,0,10.5
8.46,0,0,0,16.8,0,11.6
4.88,0,0,0,16.6,0,5.4
4.83,0,0,0,15.5,0,10.1
7.79,0,0,0,15.5,0,9.8
4.96,0,0,0,14.5,0,8.1
2.5,0,0,0,14.6,0,6.1
4.88,0,0,0,12.7,0,7.7
3.92,0,0,0,15.6,0,10.3
4.38,0,0,0,12.8,0,4
6.29,0,0,0,10,0,3.6
11.63,0,0.2,0,15,0,6.6
5.58,0,0,0,16.1,0,9.5
3.79,0,0,0,13.2,0,7.1
6.34,0,0,0,12.8,0,9.5
4.92,0,0,2,14.5,0,9.7
6.54,0,0,0,14.3,0,3.6
8.5,0,0.5,0,15.7,0,9
11.79,0,0.5,0,14.4,0,11.3
11.04,0,0,0,8.7,0,2.7
15.63,0,0.6,0,11.4,1,-0.5
15.92,0,0.9,0,9.5,0,4.4
11.96,0,8.1,0,12.7,0,1.1
20.75,0,0.9,0,9.5,0,3.6
12.75,0,3.5,0,10,0,3.7
10.46,0,0,0,13.3,0,3.7
6.04,0,9.1,0,10.6,0,7.3
6.83,0,0.1,0,9.5,0,5.6
10.92,0,11.2,0,11.8,0,2.2
19.75,0,0.5,0,12.1,0,8.3
8.29,0,1.2,0,12.1,0,6.1
3.5,0,0,0,11.2,0,8.3
4.42,0,0,0,10.7,0,0.5
